a_problem_with_the_business,"[39243098, 9885, 3969.9643904906425]"
bounceback,"[146085257, 43361, 3369.04723138304]"
firefox,"[19015716, 7944, 2393.7205438066467]"
g1_in_policy,"[15590288, 20637, 755.4532150990939]"
generic,"[48368156, 16930, 2856.949556999409]"
gf.a6,"[108775, 68, 1599.6323529411766]"
i.s3c,"[670458, 1190, 563.4100840336134]"
my_redemption_code_isn_t_working_online,"[4861423, 2623, 1853.3827678231032]"
ottawa,"[1045007, 606, 1724.43399339934]"
reason4_4n7,"[20742929, 12133, 1709.6290282700074]"
teamponkannan,"[24544275, 8511, 2883.829749735636]"
06gt,"[4824541, 2372, 2033.9548903878583]"
14tnr,"[6919513, 4901, 1411.857376045705]"
a.r7.2b,"[4818886, 2369, 2034.1435204727734]"
gg.s2b,"[6919525, 4901, 1411.859824525607]"
teamdameron,"[3108655, 1516, 2050.5639841688653]"
wilmington-newark,"[581373, 305, 1906.1409836065575]"
4chc,"[1896500, 8866, 213.90706068125422]"
editing_or_canceling_an_order,"[30354934, 29066, 1044.345076721943]"
i.s3b,"[1887086, 8889, 212.29452131848353]"
i_need_to_edit_or_cancel_an_order,"[27736933, 27322, 1015.1867725642339]"
reason4_2f10,"[3472770, 11623, 298.78430697754453]"
westchester-county,"[1277995, 633, 2018.949447077409]"
14tax1,"[43644, 33, 1322.5454545454545]"
6gc,"[1985215, 870, 2281.8563218390805]"
ansgtla,"[14215493, 6689, 2125.204514875168]"
b.g8b,"[32751219, 5129, 6385.4979528173135]"
gg.i7,"[43644, 33, 1322.5454545454545]"
i.p1,"[1985215, 870, 2281.8563218390805]"
i_have_questions_about_the_deal_or_business,"[5013887, 1981, 2530.9878849066126]"
merchant,"[17855427, 3670, 4865.238964577657]"
mservice,"[7591667, 2115, 3589.4406619385345]"
partial_refund_issued,"[3486829, 1895, 1840.0153034300793]"
promise,"[4080184, 1677, 2433.025641025641]"
qascrubbed-to-175491378,"[2027544, 958, 2116.434237995825]"
teamstalin,"[16709624, 5826, 2868.112598695503]"
6fpc,"[895781, 1278, 700.9241001564945]"
cleveland,"[1519053, 691, 2198.3400868306803]"
how_do_i_use_my_groupon,"[2538081, 1035, 2452.2521739130434]"
i.s5b,"[895789, 1279, 700.3823299452697]"
reason4_2f3,"[7052188, 12736, 553.7207914572864]"
teamrevathi,"[20379962, 11331, 1798.6022416379842]"
using_a_groupon,"[9802250, 4629, 2117.5739900626486]"
4pr,"[33367742, 10812, 3086.1766555678873]"
4pr1,"[3119522, 1328, 2349.0376506024095]"
baltimore,"[3472966, 1675, 2073.412537313433]"
i.s1a,"[33346194, 10808, 3085.3251295336786]"
m.w1,"[5877946, 1120, 5248.166071428572]"
reason4_2e1,"[27516876, 7509, 3664.5193767479027]"
teambiju,"[17918513, 6161, 2908.377373802954]"
tempgreen,"[11460778, 3132, 3659.2522349936144]"
the_business_is_not_returning_my_calls_or_emails,"[21722897, 5393, 4027.9801594659743]"
touch_ipad,"[4267450, 2008, 2125.2241035856573]"
white_glove,"[6082384, 1146, 5307.49040139616]"
browser_firefox,"[1954861, 4731, 413.2024941872754]"
chat,"[13174841, 44553, 295.71164680268447]"
chat_origin_visitor_initiated,"[13994933, 33215, 421.3437603492398]"
device_other,"[13395383, 31539, 424.7244047052855]"
os_windows_xp,"[225947, 574, 393.63588850174216]"
reason4_4j2,"[1172615, 2403, 487.97960882230547]"
teamdiwakar,"[654906, 4635, 141.2957928802589]"
typebi_customer_contact__chat,"[15812667, 45646, 346.41955483503483]"
us_checkout_window,"[3776862, 25118, 150.36475834063222]"
atlanta,"[6363430, 2933, 2169.597681554722]"
wise-confident,"[2881537, 2924, 985.4777701778386]"
wise-confident-34660048,"[42316, 852, 49.666666666666664]"
wise_confident,"[2854928, 2914, 979.7282086479066]"
wise_hidden,"[2854928, 2914, 979.7282086479066]"
5wc,"[119292, 34, 3508.5882352941176]"
